原文,当前译文,状态,来源
Bless,Bless,pending,exe:blitz_string@0x18F824
"This incantation bestows upon the caster a divine blessing, increasing the caster's ToHit and Maximum Damage. The effect of blessing is +1 ToHit probability and +1 Damage per casting level, lasting 100 rounds.","This incantation bestows upon the caster a divine blessing, increasing the caster's ToHit and Maximum Damage. The effect of blessing is +1 ToHit probability and +1 Damage per casting level, lasting 100 rounds.",pending,exe:blitz_string@0x18F83C
Cat's Eyes,Cat's Eyes,pending,exe:blitz_string@0x18F9EC
Gives the caster cat-like vision in low light. Duration of spell is 40 rounds per Casting Level.,Gives the caster cat-like vision in low light. Duration of spell is 40 rounds per Casting Level.,pending,exe:blitz_string@0x18FA0C
Detox,Detox,pending,exe:blitz_string@0x18FAD8
"Removes poisons from the bloodstream of the caster. The higher the casting level, the more powerful the detoxification effect is.","Removes poisons from the bloodstream of the caster. The higher the casting level, the more powerful the detoxification effect is.",pending,exe:blitz_string@0x18FAF0
Divine Heal,Divine Heal,pending,exe:blitz_string@0x18FC00
"Upon casting, you are bathed in divine light which binds your physical wounds. Heals 3-6 Hit Points for every casting level. Does not cure disease or remove poisoning.","Upon casting, you are bathed in divine light which binds your physical wounds. Heals 3-6 Hit Points for every casting level. Does not cure disease or remove poisoning.",pending,exe:blitz_string@0x18FC24
Entangle,Entangle,pending,exe:blitz_string@0x18FD80
"Causes vines and tanglebrush to rise from the ground, ensnaring a target. Spell duration is 4 rounds per Casting Level. Large or very strong creatures may cut the spell's duration in half.","Causes vines and tanglebrush to rise from the ground, ensnaring a target. Spell duration is 4 rounds per Casting Level. Large or very strong creatures may cut the spell's duration in half.",pending,exe:blitz_string@0x18FD9C
Fleshboil,Fleshboil,pending,exe:blitz_string@0x18FF20
"A ranged spell which bathes a single target with divine energy, causing blisters and lesions upon exposed flesh. Effect is 2-4 hit points of Magick damage per casting level.","A ranged spell which bathes a single target with divine energy, causing blisters and lesions upon exposed flesh. Effect is 2-4 hit points of Magick damage per casting level.",pending,exe:blitz_string@0x18FF40
Leatherskin,Leatherskin,pending,exe:blitz_string@0x1900A8
"Causes the skin of the caster to become thick and leathery, increasing the caster's Armor Rating and reducing the effects of physical damage. Casting level determines amount of effect and duration is 100 rounds.","Causes the skin of the caster to become thick and leathery, increasing the caster's Armor Rating and reducing the effects of physical damage. Casting level determines amount of effect and duration is 100 rounds.",pending,exe:blitz_string@0x1900CC
Lore,Lore,pending,exe:blitz_string@0x190280 | runtime_draw
Used to identify unknown items. Effectiveness of the spell is determined by the casting level.,Used to identify unknown items. Effectiveness of the spell is determined by the casting level.,pending,exe:blitz_string@0x190294
Poison Spray,Poison Spray,pending,exe:blitz_string@0x19035C
"Sprays the target creature with a vaporous mist of toxic fumes, causing the target to become sickened with poison. Casting level determines the potentcy of the poisonous effect.","Sprays the target creature with a vaporous mist of toxic fumes, causing the target to become sickened with poison. Casting level determines the potentcy of the poisonous effect.",pending,exe:blitz_string@0x190380
Nimbleness,Nimbleness,pending,exe:blitz_string@0x1904F0
"Temporarily increases the Dexterity of the caster, improving any stat affected by Dexterity such as combat accuracy or base Armor Rating. The effect is +5 Dexterity points per casting level, the duration is 160 rounds.","Temporarily increases the Dexterity of the caster, improving any stat affected by Dexterity such as combat accuracy or base Armor Rating. The effect is +5 Dexterity points per casting level, the duration is 160 rounds.",pending,exe:blitz_string@0x190510
Ogre Strength,Ogre Strength,pending,exe:blitz_string@0x1906D0
"Temporarily increases the Strength of the caster, improving any stat affected by Strength such as combat damage or encumbrance limit. The effect is +5 Strength points per casting level, the duration is 160 rounds.","Temporarily increases the Strength of the caster, improving any stat affected by Strength such as combat damage or encumbrance limit. The effect is +5 Strength points per casting level, the duration is 160 rounds.",pending,exe:blitz_string@0x1906F8
Charm,Charm,pending,exe:blitz_string@0x1908B0
"Charms a single creature, causing it to turn and fight any other creature attacking the caster. The duration of the charm is 60 rounds. The charmed creature will not follow the caster around, but as long as the charm is active it will attack any other creature nearby that is aggressive towards the caster. The casting level determines the level of creature that can be charmed.","Charms a single creature, causing it to turn and fight any other creature attacking the caster. The duration of the charm is 60 rounds. The charmed creature will not follow the caster around, but as long as the charm is active it will attack any other creature nearby that is aggressive towards the caster. The casting level determines the level of creature that can be charmed.",pending,exe:blitz_string@0x1908C8
Cure Disease,Cure Disease,pending,exe:blitz_string@0x190BC8
"Cures any disease that may be inflicting the caster. Each casting level represents a certain chance for the disease to be eliminated, with the highest casting level (6) being a guaranteed removal of the disease.","Cures any disease that may be inflicting the caster. Each casting level represents a certain chance for the disease to be eliminated, with the highest casting level (6) being a guaranteed removal of the disease.",pending,exe:blitz_string@0x190BEC
Enchanted Weapon,Enchanted Weapon,pending,exe:blitz_string@0x190DA0
"This spell, while active, temporarily enchants any weapon placed in the caster's hand. Enchanted weapons deliver an additional 2 points magickal damage upon striking a target. The target may save versus Magick to avoid this extra damage. The spell's duration is 30 rounds per casting level.","This spell, while active, temporarily enchants any weapon placed in the caster's hand. Enchanted weapons deliver an additional 2 points magickal damage upon striking a target. The target may save versus Magick to avoid this extra damage. The spell's duration is 30 rounds per casting level.",pending,exe:blitz_string@0x190DCC
Haste,Haste,pending,exe:blitz_string@0x19101C
"Causes the caster to move at increased speed, allowing him to perform an extra action per round. The duration is 4 rounds per casting level.","Causes the caster to move at increased speed, allowing him to perform an extra action per round. The duration is 4 rounds per casting level.",pending,exe:blitz_string@0x191034
Sunder Flesh,Sunder Flesh,pending,exe:blitz_string@0x191158
"Casting upon an ememy causes their flesh to rip apart, inflicting 5-7 points of magick damage per casting level.","Casting upon an ememy causes their flesh to rip apart, inflicting 5-7 points of magick damage per casting level.",pending,exe:blitz_string@0x19117C
Stoneskin,Stoneskin,pending,exe:blitz_string@0x191268
"Causes the skin of the caster to become hard like stone, greatly increasing the caster's Armor Rating and reducing the effects of physical damage. Casting level determines amount of effect and duration is 160 rounds.","Causes the skin of the caster to become hard like stone, greatly increasing the caster's Armor Rating and reducing the effects of physical damage. Casting level determines amount of effect and duration is 160 rounds.",pending,exe:blitz_string@0x191288
Turn Undead,Turn Undead,pending,exe:blitz_string@0x191444
"Causes an undead target to be repulsed by the caster; at lower casting levels, there is a chance that the spell may fail. At higher casting levels, the spell works every time and additionally may distress the target to the point of causing physical damage as well.","Causes an undead target to be repulsed by the caster; at lower casting levels, there is a chance that the spell may fail. At higher casting levels, the spell works every time and additionally may distress the target to the point of causing physical damage as well.",pending,exe:blitz_string@0x191468
Mass Boil,Mass Boil,pending,exe:blitz_string@0x191684
"Much like the spell Fleshboil, Massboil causes all living creatures in view (except the caster himself) to be bathed in searing divine light, causing blisters and lesions. The effect is 3-5 points of magick damage per casting level.","Much like the spell Fleshboil, Massboil causes all living creatures in view (except the caster himself) to be bathed in searing divine light, causing blisters and lesions. The effect is 3-5 points of magick damage per casting level.",pending,exe:blitz_string@0x1916A4
Smite,Smite,pending,exe:blitz_string@0x191880
"The caster lays his hands upon his opponent, channeling a higher power to inflict terrible damage into the target creature. The effect of the spell is 6-10 points of magick damage per casting level.","The caster lays his hands upon his opponent, channeling a higher power to inflict terrible damage into the target creature. The effect of the spell is 6-10 points of magick damage per casting level.",pending,exe:blitz_string@0x191898
Dehex,Dehex,pending,exe:blitz_string@0x191A30
Removes any curses or hexes that may be plaguing the caster.,Removes any curses or hexes that may be plaguing the caster.,pending,exe:blitz_string@0x191A48
Dancing Lights,Dancing Lights,pending,exe:blitz_string@0x191ACC
Causes some enemies to flee in fright of the magical display of lights. Larger or more intelligent creatures require a higher casting level for the spell to be effective.,Causes some enemies to flee in fright of the magical display of lights. Larger or more intelligent creatures require a higher casting level for the spell to be effective.,pending,exe:blitz_string@0x191AF4
Air Shield,Air Shield,pending,exe:blitz_string@0x191C54
"Creates a bubble of dense, high-pressure air around the caster, shielding him from most projectiles. Duration is 20 rounds per casting level. Note: Air Shield works only when the source of the projectile is greater than one space away. It does not prevent damage from melee weapons or point-blank (adjacent square) shot projectiles.","Creates a bubble of dense, high-pressure air around the caster, shielding him from most projectiles. Duration is 20 rounds per casting level. Note: Air Shield works only when the source of the projectile is greater than one space away. It does not prevent damage from melee weapons or point-blank (adjacent square) shot projectiles.",pending,exe:blitz_string@0x191C74
Fire Dart,Fire Dart,pending,exe:blitz_string@0x191F18
Causes a searing hot ember to shoot from the caster's hands towards the target. Effect is 2-4 hit points of fire damage per casting level.,Causes a searing hot ember to shoot from the caster's hands towards the target. Effect is 2-4 hit points of fire damage per casting level.,pending,exe:blitz_string@0x191F38
Gravedigger's Flame,Gravedigger's Flame,pending,exe:blitz_string@0x192058
"This spell creates a magickal torch that floats above the caster's head, illuminating the darkness around him. The duration of the spell is based on the casting level.","This spell creates a magickal torch that floats above the caster's head, illuminating the darkness around him. The duration of the spell is based on the casting level.",pending,exe:blitz_string@0x19208C
Element Armor,Element Armor,pending,exe:blitz_string@0x1921E8
"Gives the caster an increased level of protection from elements (fire, cold, electricity). Duration of the spell is 75 rounds and the effect is +10% Resistance to Elements per casting level.","Gives the caster an increased level of protection from elements (fire, cold, electricity). Duration of the spell is 75 rounds and the effect is +10% Resistance to Elements per casting level.",pending,exe:blitz_string@0x192210
Reveal Map,Reveal Map,pending,exe:blitz_string@0x192398
"This spell grants the caster +3 points of Cartography Skill per casting level, and the duration of the spell is 10 rounds per casting level.","This spell grants the caster +3 points of Cartography Skill per casting level, and the duration of the spell is 10 rounds per casting level.",pending,exe:blitz_string@0x1923B8
Predator Sight,Predator Sight,pending,exe:blitz_string@0x1924DC
"This spell allows the caster to see the faint electromagnetic aura that all creatures emit, whether they are living, animated or extra dimentional. In daylight this has practically no effect, but in darkness the caster is able to see all creatures glowing green which clearly reveals their location. Using Predator Sight, a caster does not receive any penalty for attacking in low light conditions. Spell duration is 40 rounds per casting level.","This spell allows the caster to see the faint electromagnetic aura that all creatures emit, whether they are living, animated or extra dimentional. In daylight this has practically no effect, but in darkness the caster is able to see all creatures glowing green which clearly reveals their location. Using Predator Sight, a caster does not receive any penalty for attacking in low light conditions. Spell duration is 40 rounds per casting level.",pending,exe:blitz_string@0x192504
Sonic Blast,Sonic Blast,pending,exe:blitz_string@0x19288C
"This spell creates an intense subsonic wave which temporarily stuns all nearby targets, lowering their combative and defensive abilities. The casting level determines the overall power and range of the blast.","This spell creates an intense subsonic wave which temporarily stuns all nearby targets, lowering their combative and defensive abilities. The casting level determines the overall power and range of the blast.",pending,exe:blitz_string@0x1928B0
Compress Atmosphere,Compress Atmosphere,pending,exe:blitz_string@0x192A5C
"This spell creates a bubble of crushing air around several targets, inflicting 6-9 points of damage per casting level.","This spell creates a bubble of crushing air around several targets, inflicting 6-9 points of damage per casting level.",pending,exe:blitz_string@0x192A90
Enkindled Weapon,Enkindled Weapon,pending,exe:blitz_string@0x192B88
"This spell, while active, temporarily imbues any weapon held in the caster's hand with bonus fire damage. The effect of the spell is 2 points of fire damage per casting level. The spell duration is 50 rounds.","This spell, while active, temporarily imbues any weapon held in the caster's hand with bonus fire damage. The effect of the spell is 2 points of fire damage per casting level. The spell duration is 50 rounds.",pending,exe:blitz_string@0x192BB4
Deep Freeze,Deep Freeze,pending,exe:blitz_string@0x192D60
"This spell blasts a single living target with a sub-freezing ball of ice, inflicting a massive 5-8 hit points of freeze damage per casting level. However, the extremely cold temperature generated by this spell has no effect on inanimate objects.","This spell blasts a single living target with a sub-freezing ball of ice, inflicting a massive 5-8 hit points of freeze damage per casting level. However, the extremely cold temperature generated by this spell has no effect on inanimate objects.",pending,exe:blitz_string@0x192D84
Fireball,Fireball,pending,exe:blitz_string@0x192F7C
"Caster projects a fireball towards his target. Effect is 4-7 points of fire damage per casting level, affecting both living and non-living targets. The concussion of the fireball's blast also produces collateral damage to surrounding creatures and objects.","Caster projects a fireball towards his target. Effect is 4-7 points of fire damage per casting level, affecting both living and non-living targets. The concussion of the fireball's blast also produces collateral damage to surrounding creatures and objects.",pending,exe:blitz_string@0x192F98
Chameleon,Chameleon,pending,exe:blitz_string@0x1931A4
"Causes the caster to blend with the environment, making him harder To hit. Duration is 20 rounds per casting level.","Causes the caster to blend with the environment, making him harder To hit. Duration is 20 rounds per casting level.",pending,exe:blitz_string@0x1931C4
Lock Melt,Lock Melt,pending,exe:blitz_string@0x1932B8
"This spell concentrates heat onto the lock mechanism of a door or chest, softening the metal components of the lock and causing them to fail. Higher quality locks require a more powerful casting level as the quality of the metal and craftsmanship of the lock are less susceptible to heat damage.","This spell concentrates heat onto the lock mechanism of a door or chest, softening the metal components of the lock and causing them to fail. Higher quality locks require a more powerful casting level as the quality of the metal and craftsmanship of the lock are less susceptible to heat damage.",pending,exe:blitz_string@0x1932D8
Trapkill,Trapkill,pending,exe:blitz_string@0x193534
"When cast upon a trap or trapped object, waves of atmospheric pressure compress upon the trap forcing it into mechanical failure. Most traps, especially those of simpler design, are susceptible to these rapid fluxations of pressure and can fail or be remotely triggered through the casting of this spell. The stronger the casting level, the better chance there is of the trap being eliminated. This spell may be cast multiple times on the same trap in effort to disarm it.","When cast upon a trap or trapped object, waves of atmospheric pressure compress upon the trap forcing it into mechanical failure. Most traps, especially those of simpler design, are susceptible to these rapid fluxations of pressure and can fail or be remotely triggered through the casting of this spell. The stronger the casting level, the better chance there is of the trap being eliminated. This spell may be cast multiple times on the same trap in effort to disarm it.",pending,exe:blitz_string@0x193550
Portal,Portal,pending,exe:blitz_string@0x19390C
"This spell allows the caster to set an anchor point anywhere in the world, and then later recast the spell to open a portal back to that anchor point. Each casting level represents a different portal anchor point, so the more locations you wish to anchor, the more Mana it costs to teleport back to that location.","This spell allows the caster to set an anchor point anywhere in the world, and then later recast the spell to open a portal back to that anchor point. Each casting level represents a different portal anchor point, so the more locations you wish to anchor, the more Mana it costs to teleport back to that location.",pending,exe:blitz_string@0x193924
Invisibility,Invisibility,pending,exe:blitz_string@0x193BA4
"Renders the caster invisible by physically warping light around him, making him completely invisible and impossible to visually track by enemies. The duration of the spell is 5 rounds per casting level.","Renders the caster invisible by physically warping light around him, making him completely invisible and impossible to visually track by enemies. The duration of the spell is 5 rounds per casting level.",pending,exe:blitz_string@0x193BC8
Supernova,Supernova,pending,exe:blitz_string@0x193D68
Supernova sends a fiery blast that emanates from the caster causing 3-4 points of fire damage per casting level on every object and creature in the area.,Supernova sends a fiery blast that emanates from the caster causing 3-4 points of fire damage per casting level on every object and creature in the area.,pending,exe:blitz_string@0x193D88
END,END,pending,exe:blitz_string@0x193EC8
RANDOM,RANDOM,pending,exe:blitz_string@0x1942E0
gfx.pak,gfx.pak,pending,exe:blitz_string@0x19A5A8
ERROR: gfx.pak missing.,ERROR: gfx.pak missing.,pending,exe:blitz_string@0x19A5C4
.pak,.pak,pending,exe:blitz_string@0x19A600
pak,pak,pending,exe:blitz_string@0x19A620
Version 1.05 STEAM EDITION,Version 1.05 STEAM EDITION,pending,exe:blitz_string@0x19A634
resources/packedgraphics/,resources/packedgraphics/,pending,exe:blitz_string@0x19A678
pak::,pak::,pending,exe:blitz_string@0x19A6BC
incbin::incbin/f1.ttf,incbin::incbin/f1.ttf,pending,exe:blitz_string@0x19A6D4
incbin::incbin/celtic.ttf,incbin::incbin/celtic.ttf,pending,exe:blitz_string@0x19A714
incbin::incbin/kelt.ttf,incbin::incbin/kelt.ttf,pending,exe:blitz_string@0x19A758
Elemental Armor,Elemental Armor,pending,exe:blitz_string@0x19A7E8
Entangled,Entangled,pending,exe:blitz_string@0x19A814
Stunned,Stunned,pending,exe:blitz_string@0x19A834
Air Shielded,Air Shielded,pending,exe:blitz_string@0x19A850
Poisoned,Poisoned,pending,exe:blitz_string@0x19A874
Blessed,Blessed,pending,exe:blitz_string@0x19A890
Invisible,Invisible,pending,exe:blitz_string@0x19A8AC
Keensight,Keensight,pending,exe:blitz_string@0x19A8CC
Paralyzed,Paralyzed,pending,exe:blitz_string@0x19A8EC
Scared,Scared,pending,exe:blitz_string@0x19A90C
Charmed,Charmed,pending,exe:blitz_string@0x19A924
Off-Balance,Off-Balance,pending,exe:blitz_string@0x19A940
Mana Fortified,Mana Fortified,pending,exe:blitz_string@0x19A964
Greater Protection,Greater Protection,pending,exe:blitz_string@0x19A98C
Alchemy,Alchemy,pending,exe:blitz_string@0x19A9CC | runtime_draw
Divination,Divination,pending,exe:blitz_string@0x19A9E8
Elemental,Elemental,pending,exe:blitz_string@0x19AA08
Light Armor,Light Armor,pending,exe:blitz_string@0x19AA28
Heavy Armor,Heavy Armor,pending,exe:blitz_string@0x19AA4C
Shields,Shields,pending,exe:blitz_string@0x19AA70
Cartography,Cartography,pending,exe:blitz_string@0x19AA8C | runtime_draw
Dodge,Dodge,pending,exe:blitz_string@0x19AAB0 | runtime_draw
Hide in Shadows,Hide in Shadows,pending,exe:blitz_string@0x19AAC8 | runtime_draw
Meditation,Meditation,pending,exe:blitz_string@0x19AAF4
Mercantile,Mercantile,pending,exe:blitz_string@0x19AB14
Move Silently,Move Silently,pending,exe:blitz_string@0x19AB34
Pick Locks,Pick Locks,pending,exe:blitz_string@0x19AB5C
Skullduggery,Skullduggery,pending,exe:blitz_string@0x19AB7C
Spot Hidden,Spot Hidden,pending,exe:blitz_string@0x19ABA0
Survival,Survival,pending,exe:blitz_string@0x19ABC4
Unarmed Combat,Unarmed Combat,pending,exe:blitz_string@0x19ABE0
Bludgeoning Weapons,Bludgeoning Weapons,pending,exe:blitz_string@0x19AC08
Bow Weapons,Bow Weapons,pending,exe:blitz_string@0x19AC3C
Cleaving Weapons,Cleaving Weapons,pending,exe:blitz_string@0x19AC60
Short Bladed Weapons,Short Bladed Weapons,pending,exe:blitz_string@0x19AC8C
Swords,Swords,pending,exe:blitz_string@0x19ACC0
Thrown Weapons,Thrown Weapons,pending,exe:blitz_string@0x19ACD8
"Arcane, Divination","Arcane, Divination",pending,exe:blitz_string@0x19AD00 | runtime_draw
"Arcane, Elemental","Arcane, Elemental",pending,exe:blitz_string@0x19AD30 | runtime_draw
"Armor, Light","Armor, Light",pending,exe:blitz_string@0x19AD60 | runtime_draw
"Armor, Heavy","Armor, Heavy",pending,exe:blitz_string@0x19AD84 | runtime_draw
"Armor, Shields","Armor, Shields",pending,exe:blitz_string@0x19ADA8 | runtime_draw
"Weapon, Bludgeoning","Weapon, Bludgeoning",pending,exe:blitz_string@0x19ADD0
"Weapon, Bows","Weapon, Bows",pending,exe:blitz_string@0x19AE04
"Weapon, Cleaving","Weapon, Cleaving",pending,exe:blitz_string@0x19AE28
"Weapon, Short Bladed","Weapon, Short Bladed",pending,exe:blitz_string@0x19AE54
"Weapon, Swords","Weapon, Swords",pending,exe:blitz_string@0x19AE88
"Weapon, Thrown","Weapon, Thrown",pending,exe:blitz_string@0x19AEB0
Find Maddock in the village of Aridell. Aridell is located northeast of where you awoke.,Find Maddock in the village of Aridell. Aridell is located northeast of where you awoke.,pending,exe:blitz_string@0x19AEE8
"Recover your amulet from the casket of 'Adler Keldam'. His casket is in a crypt located in Eversleep Cemetery in the North Parish area. If you can't open the crypt door yourself, the cemetary director has a key. His house is north of Aridell.","Recover your amulet from the casket of 'Adler Keldam'. His casket is in a crypt located in Eversleep Cemetery in the North Parish area. If you can't open the crypt door yourself, the cemetary director has a key. His house is north of Aridell.",pending,exe:blitz_string@0x19AFA4
Take your recovered amulet to Lilith 'at the heart' of Tangletree Forest. Tangletree Forest is to the west of the Parish regions.,Take your recovered amulet to Lilith 'at the heart' of Tangletree Forest. Tangletree Forest is to the west of the Parish regions.,pending,exe:blitz_string@0x19B194
"Farwick, the blacksmith in Aridell, has asked you to recover a bar of Mithril from a wine cellar in the abandoned town of Elderhollow.","Farwick, the blacksmith in Aridell, has asked you to recover a bar of Mithril from a wine cellar in the abandoned town of Elderhollow.",pending,exe:blitz_string@0x19B2A4
"Abygale, the magick shop owner in Aridell, has asked you to bring her a book called 'Secrets of Transference Circuits' if you find it.","Abygale, the magick shop owner in Aridell, has asked you to bring her a book called 'Secrets of Transference Circuits' if you find it.",pending,exe:blitz_string@0x19B3BC
"To release the gates and make Grimmhold passible again, you must open the Secondary Water Gate in Grimmhold's Maintenance level.","To release the gates and make Grimmhold passible again, you must open the Secondary Water Gate in Grimmhold's Maintenance level.",pending,exe:blitz_string@0x19B4D4
"Lilith has agreed to give you more information about your amulet, but first you must find and kill the Hive Queen, nesting within a cave in central Tangletree Forest. Her stinger will be proof of her death.","Lilith has agreed to give you more information about your amulet, but first you must find and kill the Hive Queen, nesting within a cave in central Tangletree Forest. Her stinger will be proof of her death.",pending,exe:blitz_string@0x19B5E0
You have discovered that your amulet is actually a key. Take it to the 'Underground Repository' and use it to open lockbox number 26. The Underground Repository may be located somewhere in or around the town of Blackwater.,You have discovered that your amulet is actually a key. Take it to the 'Underground Repository' and use it to open lockbox number 26. The Underground Repository may be located somewhere in or around the town of Blackwater.,pending,exe:blitz_string@0x19B788
"Locate a 'prize' that the Goblin Gruzz has told you about. Find the Goblin Obelisk in Crakamir, travel south until you see a tree with yellow leaves, then locate the dead tree nearby. The prize is hidden there.","Locate a 'prize' that the Goblin Gruzz has told you about. Find the Goblin Obelisk in Crakamir, travel south until you see a tree with yellow leaves, then locate the dead tree nearby. The prize is hidden there.",pending,exe:blitz_string@0x19B950
"Garrett, the drunk staying at the Owl's Roost Tavern in Aridell, has lost an antique sextant. If you find it, you can sell it for profit or perhaps Garrett would pay more than it's worth to have it back. It may be near the Salted Coast where he washed ashore after the shipwreck.","Garrett, the drunk staying at the Owl's Roost Tavern in Aridell, has lost an antique sextant. If you find it, you can sell it for profit or perhaps Garrett would pay more than it's worth to have it back. It may be near the Salted Coast where he washed ashore after the shipwreck.",pending,exe:blitz_string@0x19BB00
Leurik has agreed to give you a key to the crypt in Eversleep Cemetery if you eliminate the Salamanders that plague the basement benieth his home in North Parish.,Leurik has agreed to give you a key to the crypt in Eversleep Cemetery if you eliminate the Salamanders that plague the basement benieth his home in North Parish.,pending,exe:blitz_string@0x19BD3C
You found a note that says if you register under the name 'Foozgrumph' at the Lonely Spirits Tavern in Blackwater you'll receive a room that has some sort of secret wall in it.,You found a note that says if you register under the name 'Foozgrumph' at the Lonely Spirits Tavern in Blackwater you'll receive a room that has some sort of secret wall in it.,pending,exe:blitz_string@0x19BE8C
You have agreed take a potion of Absolute Restoration to a sick man who lives west of the Salted Coast region. The potion can be found in the chest at the Bethel of the Green Moon on Aridell.,You have agreed take a potion of Absolute Restoration to a sick man who lives west of the Salted Coast region. The potion can be found in the chest at the Bethel of the Green Moon on Aridell.,pending,exe:blitz_string@0x19BFF8
You have agreed to take an incriminating note to the Captain of Darkford which proves Father Michael's efforts to help the Goblins invade eastern Thaermore.,You have agreed to take an incriminating note to the Captain of Darkford which proves Father Michael's efforts to help the Goblins invade eastern Thaermore.,pending,exe:blitz_string@0x19C184
"Your dying brother said you need to go to Shadowmirk, the Mage Citadel on the northern shores of Thaermore. Find a wizard name Erubor and tell him that the goblins are planning an attack on Shadowmirk.","Your dying brother said you need to go to Shadowmirk, the Mage Citadel on the northern shores of Thaermore. Find a wizard name Erubor and tell him that the goblins are planning an attack on Shadowmirk.",pending,exe:blitz_string@0x19C2C8
A note you left for yourself says you must find your brother. He is probaby being held captive by the Goblins in the abandoned city of Vela.,A note you left for yourself says you must find your brother. He is probaby being held captive by the Goblins in the abandoned city of Vela.,pending,exe:blitz_string@0x19C468
"Mary, a stranded woman in the northern area of North Parish, has asked you to locate her husband. His name is Bradon and he may be identified by his inscribed gold wedding band.","Mary, a stranded woman in the northern area of North Parish, has asked you to locate her husband. His name is Bradon and he may be identified by his inscribed gold wedding band.",pending,exe:blitz_string@0x19C58C
"You have learned of a chest in an abandoned house, deep in Tangletree Forest, west of Grimmhold. The chest's slider lock must be set to 167 in order to open it and retrieve a valuable weapon inside.","You have learned of a chest in an abandoned house, deep in Tangletree Forest, west of Grimmhold. The chest's slider lock must be set to 167 in order to open it and retrieve a valuable weapon inside.",pending,exe:blitz_string@0x19C6FC
"You have agreed to deliver an 70 pound crucible to Gunther, the metal smith in Blackwater. The crucible can be picked up at Bordertown Arms in Bordertown near Darkford.","You have agreed to deliver an 70 pound crucible to Gunther, the metal smith in Blackwater. The crucible can be picked up at Bordertown Arms in Bordertown near Darkford.",pending,exe:blitz_string@0x19C894
"Oolaseph, a talking tree in Northern Tangletree Forest, said he will give you a gift if you bring him a flask of pure water from an oasis in Northern Crakamir.","Oolaseph, a talking tree in Northern Tangletree Forest, said he will give you a gift if you bring him a flask of pure water from an oasis in Northern Crakamir.",pending,exe:blitz_string@0x19C9F0
Retrieve a Goblin Key from a giant named Omar in the Timberland Plains area.,Retrieve a Goblin Key from a giant named Omar in the Timberland Plains area.,pending,exe:blitz_string@0x19CB3C
"You have offered to kill all of the Fungal Sludges in the Marshes of Boradan area, which is straight east of the Bordertown camp. When finished with this task, return to the boatman Phillip in Bordertown and tell him.","You have offered to kill all of the Fungal Sludges in the Marshes of Boradan area, which is straight east of the Bordertown camp. When finished with this task, return to the boatman Phillip in Bordertown and tell him.",pending,exe:blitz_string@0x19CBE0
"A shadey character in Lonely Spirits Tavern in Blackwater has offered to pay you 500 gold to kill Lilith, the woman who lives near Lake Atria in Tangletree Forest. Return her amulet to him as proof of your success.","A shadey character in Lonely Spirits Tavern in Blackwater has offered to pay you 500 gold to kill Lilith, the woman who lives near Lake Atria in Tangletree Forest. Return her amulet to him as proof of your success.",pending,exe:blitz_string@0x19CDA0
Retrieve the Giant Chieftain’s skull from Camp Thorndike and return it to Omar in the Giant's Village. Omar will trade you a Goblin key for the skull.,Retrieve the Giant Chieftain’s skull from Camp Thorndike and return it to Omar in the Giant's Village. Omar will trade you a Goblin key for the skull.,pending,exe:blitz_string@0x19CF58
You have learned of a great bow hidden in Lorus of Eastleaf's tomb in Tangletree Ossuray. The sliding lock on his vault must be set to 98 to open it.,You have learned of a great bow hidden in Lorus of Eastleaf's tomb in Tangletree Ossuray. The sliding lock on his vault must be set to 98 to open it.,pending,exe:blitz_string@0x19D090
Recover all four Goblin Keys and use them to enter the Goblin Citadel.,Recover all four Goblin Keys and use them to enter the Goblin Citadel.,pending,exe:blitz_string@0x19D1C8
Take the Crux of Ages back to Bastion Spire through a portal in the Goblin Citadel.,Take the Crux of Ages back to Bastion Spire through a portal in the Goblin Citadel.,pending,exe:blitz_string@0x19D260
"Vezzar, the Magick Shop owner in Blackwater, has asked you to bring him back an acorn from a Burley Oak tree. The only tree left is in the southern Tangletree region.","Vezzar, the Magick Shop owner in Blackwater, has asked you to bring him back an acorn from a Burley Oak tree. The only tree left is in the southern Tangletree region.",pending,exe:blitz_string@0x19D314
A friendly Goblin in Whistling Cave said that a locked chest in the Goblin Citadel contains a powerful weapon. The lock must be set to 66 to open.,A friendly Goblin in Whistling Cave said that a locked chest in the Goblin Citadel contains a powerful weapon. The lock must be set to 66 to open.,pending,exe:blitz_string@0x19D46C
You have found a letter that needs to be delivered to a woman named Penelope in Blackwater. You found this letter amid the remains of a destroyed caravan in Crakamir.,You have found a letter that needs to be delivered to a woman named Penelope in Blackwater. You found this letter amid the remains of a destroyed caravan in Crakamir.,pending,exe:blitz_string@0x19D59C
"Gunther, the smith in Blackwater, wants you to get his Divine Ore back from a group of Mercenaries who have a hideout somewhere east of Blackwater.","Gunther, the smith in Blackwater, wants you to get his Divine Ore back from a group of Mercenaries who have a hideout somewhere east of Blackwater.",pending,exe:blitz_string@0x19D6F4
"Krista, the tavern owner in Bordertown, has asked you to retrieve a locket from her brother's room in Grimmhold.","Krista, the tavern owner in Bordertown, has asked you to retrieve a locket from her brother's room in Grimmhold.",pending,exe:blitz_string@0x19D828
